label,sigma_nm,epsilon_kj_mol,box_length_nm,volume_nm3,mean_ideal_pa,mean_virial_pa,mean_total_pa,std_total_pa
epsilon_0.0,0.34,0.0,4.0,64.0,12732704.693065256,0.0,12732704.693065256,667891.8410576349
epsilon_1.0,0.34,0.9977355141783887,4.0,64.0,13384337.645293243,-421243.64844291215,12963093.99685033,1483201.2246953815
epsilon_2.0,0.34,1.9954710283567774,4.0,64.0,12700153.666257132,-4884758.481204004,7815395.185053127,1945333.1566799388
sigma_0.30,0.3,0.9977355141783887,4.0,64.0,12857357.10024627,-559436.3277538338,12297920.772492435,1162859.129746281
sigma_0.34,0.34,0.9977355141783887,4.0,64.0,13384337.645293243,-421243.64844291215,12963093.99685033,1483201.2246953815
sigma_0.40,0.4,0.9977355141783887,4.0,64.0,12693134.080798006,-382316.1480046088,12310817.932793397,1725603.9069084376
Boyle_L4.0,0.34,0.0,4.0,64.0,12732704.693065256,0.0,12732704.693065256,667891.8410576349
Boyle_L5.0,0.34,0.0,5.0,125.0,6519144.802849411,0.0,6519144.802849411,341960.6226215091
Boyle_L6.0,0.34,0.0,6.0,216.0,3772653.2423897055,0.0,3772653.2423897055,197893.8788318918
