#E_pot  E_kin  T  P_ideal P_virial
-2.603870e-05 7.935899e+02 3.181564e+02 8.785247e+02 8.785246e+02
-2.674276e-05 7.519626e+02 3.014677e+02 8.324421e+02 8.324421e+02
-2.739804e-05 7.459249e+02 2.990471e+02 8.257583e+02 8.257582e+02
-2.793301e-05 7.672631e+02 3.076018e+02 8.493803e+02 8.493802e+02
-2.809690e-05 7.673692e+02 3.076443e+02 8.494977e+02 8.494976e+02
-2.807216e-05 7.491303e+02 3.003322e+02 8.293068e+02 8.293067e+02
-2.760829e-05 7.215956e+02 2.892934e+02 7.988252e+02 7.988251e+02
-2.682473e-05 7.191250e+02 2.883029e+02 7.960901e+02 7.960901e+02
-2.633427e-05 7.130838e+02 2.858809e+02 7.894024e+02 7.894023e+02
-2.573272e-05 6.907570e+02 2.769299e+02 7.646860e+02 7.646859e+02
-2.496132e-05 6.943501e+02 2.783704e+02 7.686636e+02 7.686635e+02
-2.446820e-05 6.709846e+02 2.690030e+02 7.427974e+02 7.427974e+02
-2.406093e-05 6.697387e+02 2.685035e+02 7.414182e+02 7.414181e+02
-2.352924e-05 7.233956e+02 2.900150e+02 8.008177e+02 8.008176e+02
-2.295911e-05 7.263631e+02 2.912047e+02 8.041029e+02 8.041028e+02
-2.240081e-05 7.296885e+02 2.925378e+02 8.077842e+02 8.077841e+02
-2.191000e-05 7.532882e+02 3.019992e+02 8.339097e+02 8.339096e+02
-2.157512e-05 7.712789e+02 3.092118e+02 8.538258e+02 8.538257e+02
-2.142263e-05 7.015785e+02 2.812683e+02 7.766657e+02 7.766657e+02
-2.137907e-05 7.275072e+02 2.916634e+02 8.053694e+02 8.053694e+02
-2.140845e-05 7.162211e+02 2.871387e+02 7.928754e+02 7.928754e+02
-2.160912e-05 7.169575e+02 2.874339e+02 7.936906e+02 7.936906e+02
-2.186354e-05 7.317757e+02 2.933746e+02 8.100948e+02 8.100947e+02
-2.209759e-05 7.103637e+02 2.847904e+02 7.863911e+02 7.863911e+02
-2.245996e-05 6.693529e+02 2.683489e+02 7.409911e+02 7.409911e+02
-2.261556e-05 6.910140e+02 2.770330e+02 7.649705e+02 7.649705e+02
-2.253648e-05 6.785714e+02 2.720446e+02 7.511963e+02 7.511962e+02
-2.262156e-05 7.005872e+02 2.808709e+02 7.755683e+02 7.755682e+02
-2.292512e-05 7.086423e+02 2.841003e+02 7.844855e+02 7.844854e+02
-2.347171e-05 7.057595e+02 2.829445e+02 7.812941e+02 7.812940e+02
-2.409256e-05 7.659264e+02 3.070659e+02 8.479005e+02 8.479004e+02
-2.462799e-05 7.963126e+02 3.192480e+02 8.815388e+02 8.815387e+02
-2.499692e-05 8.214908e+02 3.293421e+02 9.094117e+02 9.094116e+02
-2.493477e-05 8.346837e+02 3.346313e+02 9.240166e+02 9.240165e+02
-2.433649e-05 8.186631e+02 3.282085e+02 9.062813e+02 9.062813e+02
-2.357054e-05 8.394501e+02 3.365421e+02 9.292931e+02 9.292930e+02
-2.230402e-05 8.149463e+02 3.267184e+02 9.021667e+02 9.021667e+02
-2.055534e-05 7.623168e+02 3.056188e+02 8.439046e+02 8.439045e+02
-1.898397e-05 7.947008e+02 3.186018e+02 8.797545e+02 8.797544e+02
-1.767527e-05 8.054004e+02 3.228913e+02 8.915992e+02 8.915992e+02
-1.661358e-05 8.267845e+02 3.314644e+02 9.152720e+02 9.152719e+02
-1.574217e-05 8.478280e+02 3.399009e+02 9.385677e+02 9.385676e+02
-1.503251e-05 7.641212e+02 3.063422e+02 8.459020e+02 8.459020e+02
-1.452471e-05 7.407122e+02 2.969574e+02 8.199877e+02 8.199877e+02
-1.414269e-05 7.266439e+02 2.913172e+02 8.044137e+02 8.044137e+02
-1.392385e-05 7.127748e+02 2.857570e+02 7.890603e+02 7.890603e+02
-1.385385e-05 7.539581e+02 3.022677e+02 8.346512e+02 8.346512e+02
-1.379116e-05 7.130066e+02 2.858499e+02 7.893169e+02 7.893168e+02
-1.381381e-05 7.172021e+02 2.875320e+02 7.939614e+02 7.939614e+02
-1.396499e-05 7.077955e+02 2.837608e+02 7.835481e+02 7.835480e+02
-1.421165e-05 6.932044e+02 2.779111e+02 7.673953e+02 7.673952e+02
-1.445500e-05 7.406814e+02 2.969450e+02 8.199536e+02 8.199536e+02
-1.457439e-05 7.061684e+02 2.831085e+02 7.817468e+02 7.817468e+02
-1.455827e-05 7.365032e+02 2.952699e+02 8.153282e+02 8.153282e+02
-1.446786e-05 6.843732e+02 2.743706e+02 7.576190e+02 7.576189e+02
-1.436427e-05 7.007350e+02 2.809302e+02 7.757319e+02 7.757318e+02
-1.429235e-05 7.272937e+02 2.915778e+02 8.051331e+02 8.051330e+02
-1.423141e-05 7.516933e+02 3.013597e+02 8.321441e+02 8.321440e+02
-1.407578e-05 7.369404e+02 2.954452e+02 8.158122e+02 8.158122e+02
-1.379775e-05 7.525199e+02 3.016911e+02 8.330591e+02 8.330590e+02
-1.341958e-05 7.545919e+02 3.025218e+02 8.353529e+02 8.353528e+02
-1.303611e-05 7.345150e+02 2.944728e+02 8.131272e+02 8.131272e+02
-1.261997e-05 7.281428e+02 2.919181e+02 8.060730e+02 8.060730e+02
-1.219726e-05 7.527391e+02 3.017790e+02 8.333018e+02 8.333017e+02
-1.189964e-05 7.683205e+02 3.080257e+02 8.505508e+02 8.505507e+02
-1.173719e-05 7.694472e+02 3.084774e+02 8.517981e+02 8.517980e+02
-1.163102e-05 7.640195e+02 3.063014e+02 8.457895e+02 8.457895e+02
-1.156745e-05 7.564946e+02 3.032846e+02 8.374593e+02 8.374592e+02
-1.153322e-05 7.553017e+02 3.028064e+02 8.361386e+02 8.361386e+02
-1.152449e-05 7.329054e+02 2.938275e+02 8.113454e+02 8.113453e+02
-1.154342e-05 7.417267e+02 2.973641e+02 8.211108e+02 8.211108e+02
-1.160404e-05 7.411854e+02 2.971471e+02 8.205116e+02 8.205115e+02
-1.174097e-05 6.742196e+02 2.702999e+02 7.463786e+02 7.463786e+02
-1.194155e-05 7.105365e+02 2.848597e+02 7.865825e+02 7.865824e+02
-1.223450e-05 7.227518e+02 2.897569e+02 8.001051e+02 8.001051e+02
-1.255567e-05 7.240408e+02 2.902736e+02 8.015320e+02 8.015320e+02
-1.289796e-05 7.296948e+02 2.925404e+02 8.077911e+02 8.077911e+02
-1.327121e-05 7.176000e+02 2.876915e+02 7.944019e+02 7.944018e+02
-1.356518e-05 7.762668e+02 3.112115e+02 8.593476e+02 8.593475e+02
-1.383378e-05 8.039586e+02 3.223133e+02 8.900031e+02 8.900030e+02
-1.411683e-05 8.498819e+02 3.407243e+02 9.408414e+02 9.408414e+02
-1.449711e-05 8.742767e+02 3.505044e+02 9.678471e+02 9.678471e+02
